ID;CMP_TYPE_CUSTOMER;CMP_TYPE_PARTNER;OPPORTUNITY_DEAL_Q01;PROBABILITY_DEAL_Q01;TIME_DIFF_BEGIN_CLOSE_DEAL_Q01;OPPORTUNITY_DEAL_Q09;PROBABILITY_DEAL_Q09;TIME_DIFF_BEGIN_CLOSE_DEAL_Q09;OPPORTUNITY_DEAL_MEAN;PROBABILITY;TIME_DIFF_BEGIN_CLOSE_DEAL_MEAN;CLOSED;OPPORTUNITY_DEAL_MEDIAN;TIME_DIFF_BEGIN_CLOSE_DEAL_MEDIAN;DEAL_BY_YEAR;PRICE_INV_Q01;TIME_DIFF_PAYED_BILL_INV_Q01;TIME_DIFF_PAYBEF_PAYED_INV_Q01;PRICE_INV_Q09;TIME_DIFF_PAYED_BILL_INV_Q09;TIME_DIFF_PAYBEF_PAYED_INV_Q09;PRICE_INV_MEAN;TIME_DIFF_PAYED_BILL_INV_MEAN;TIME_DIFF_PAYBEF_PAYED_INV_MEAN;PAYED;STATUS_ID_P;STATUS_ID_D;STATUS_ID_N;STATUS_ID_T;PRICE_INV_MEDIAN;TIME_DIFF_PAYED_BILL_INV_MEDIAN;TIME_DIFF_PAYBEF_PAYED_INV_MEDIAN;MONTH_TOGETHER_INV;DEAL_BY_YEARINV;OPPORTUNITY_QUO_Q01;TIME_DIFF_CREATE_CLOSE_QUO_Q01;OPPORTUNITY_QUO_Q09;TIME_DIFF_CREATE_CLOSE_QUO_Q09;CLOSEDQUO;OPPORTUNITY_QUO_MEAN;TIME_DIFF_CREATE_CLOSE_QUO_MEAN;STATUS_ID_DEC;STATUS_ID_APP;STATUS_ID_DRA;STATUS_ID_UNA;STATUS_ID_REC;OPPORTUNITY_QUO_MEDIAN;TIME_DIFF_CREATE_CLOSE_QUO_MEDIAN;target
13;1;0;3213.0;0.0;11.0;231072.5;100.0;722.1;61099.527;31.11111;301.37338;0.8076923;25462.5;211.0;15.071134;4443.75;2.4583333;-104.458336;86137.5;119.125;1.7916666;33397.184;56.428436;-29.355207;0.8767123;0.89726025;0.07534247;0.02739726;0.0;19950.0;21.208334;-2.2708333;61.831944444444446;28.334867;0.0;2.6;64260.0;6.25;0.8235294;32772.06;5.1694446;0.1764706;0.64705884;0.11764706;0.0;0.05882353;16275.0;5.625;1
15;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2850.0;5.25;0.0;2850.0;5.25;0.0;2850.0;5.25;0.0;1.0;1.0;0.0;0.0;0.0;2850.0;5.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
17;1;0;0.0;0.0;16.9;0.0;0.0;104.1;0.0;0.0;60.5;1.0;0.0;60.5;1.9518716;1324.6;3.4166667;0.0;4059.9;11.383333;0.0;2727.75;6.375;0.0;1.0;1.0;0.0;0.0;0.0;2816.5;3.8125;0.0;8.772222222222222;5.4718175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
21;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8040.0;5.9083333;0.0;39900.2;53.408333;0.0;20722.6;23.566668;0.0;1.0;1.0;0.0;0.0;0.0;11550.0;10.375;0.0;14.102777777777778;4.254481;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
23;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5478.0;6.375;0.0;5478.0;6.375;0.0;5478.0;6.375;0.0;1.0;1.0;0.0;0.0;0.0;5478.0;6.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
25;1;0;0.0;0.0;7.0;195000.0;80.0;124.0;101481.82;23.636364;58.727272;1.0;80000.0;7.0;5.7027874;114900.0;7.3083334;0.0;216800.0;53.275;0.0;158000.0;26.466667;0.0;1.0;1.0;0.0;0.0;0.0;148500.0;19.208334;0.0;12.16388888888889;4.932633;135500.0;5.75;135500.0;5.75;1.0;135500.0;5.75;0.0;1.0;0.0;0.0;0.0;135500.0;5.75;0
27;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4495.8;24.7625;0.0;10062.2;179.19583;0.0;7279.0;101.979164;0.0;1.0;1.0;0.0;0.0;0.0;7279.0;101.979164;0.0;7.2347222222222225;3.3173354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
29;1;0;10755.4;0.0;7.0;39482.5;91.0;7.0;24198.25;42.5;7.0;1.0;21896.5;7.0;6.8544602;3475.0;5.3708334;0.0;63800.0;49.070835;0.0;28343.666;25.619791;0.0;0.8888889;0.8888889;0.11111111;0.0;0.0;12775.0;17.354166;0.0;12.066666666666666;8.950276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
11;1;0;0.0;0.0;7.0;9970.0;40.0;96.6;4975.0;16.666666;39.0;0.75;4950.0;7.0;0.8088456;4750.0;2.4166667;0.0;4750.0;2.4166667;0.0;4750.0;2.4166667;0.0;1.0;1.0;0.0;0.0;0.0;4750.0;2.4166667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
31;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3400.0;2.4166667;0.0;3400.0;2.4166667;0.0;3400.0;2.4166667;0.0;1.0;1.0;0.0;0.0;0.0;3400.0;2.4166667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
33;1;0;9325.1;50.0;7.0;75301.9;50.0;7.0;42313.5;50.0;7.0;1.0;42313.5;7.0;52.142857;2205.2;3.9666667;0.0;11222.8;8.7;0.0;6714.0;6.3333335;0.0;1.0;1.0;0.0;0.0;0.0;6714.0;6.3333335;0.0;13.034722222222221;1.841236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
35;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2365.0;10.120833;0.0;6885.0;24.754168;0.0;4625.0;17.4375;0.0;1.0;1.0;0.0;0.0;0.0;4625.0;17.4375;0.0;0.475;50.526318;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
37;1;0;60000.0;0.0;146.0;60000.0;0.0;146.0;60000.0;0.0;146.0;1.0;60000.0;146.0;2.5;3195.0;5.7208333;0.0;9155.0;9.154166;0.0;6175.0;7.4375;0.0;1.0;1.0;0.0;0.0;0.0;6175.0;7.4375;0.0;0.6083333333333333;39.452053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
39;1;0;400000.0;50.0;7.0;400000.0;50.0;7.0;400000.0;50.0;7.0;1.0;400000.0;7.0;52.142857;59520.0;5.054167;0.0;74000.0;11.4875;0.0;67300.0;8.270833;0.0;0.6666667;0.6666667;0.33333334;0.0;0.0;70000.0;8.270833;0.0;2.2666666666666666;15.882353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
43;1;0;5901.4;0.0;163.9;7246.4;0.0;809.0;6606.5;0.0;516.75;1.0;6688.0;592.5;1.1792818;4150.0;4.25;0.0;7244.0;31.291666;0.0;5787.6665;14.284722;0.0;1.0;1.0;0.0;0.0;0.0;5969.0;7.3125;0.0;37.13333333333333;1.9389588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
45;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1078.0;0.0;0.0;1078.0;0.0;0.0;1078.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1078.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
47;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29982.8;5.6833334;0.0;34949.2;6.483333;0.0;32466.0;6.0833335;0.0;1.0;1.0;0.0;0.0;0.0;32466.0;6.0833335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
49;1;0;15080.0;55.0;100.004166;93720.0;95.0;844.0375;54400.0;75.0;472.02084;1.0;54400.0;472.02084;0.7700083;5021.1;7.0;0.0;51775.0;139.28334;0.0;18859.8;64.36667;0.0;0.5;0.5;0.5;0.0;0.0;6650.0;56.458332;0.0;1.8555555555555556;64.67066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
51;1;0;1900.0;100.0;7.0;1900.0;100.0;7.0;1900.0;100.0;7.0;1.0;1900.0;7.0;52.142857;1037.6;1.5416666;0.0;2732.0;1.5416666;0.0;1887.3334;1.5416666;0.0;0.33333334;0.33333334;0.6666667;0.0;0.0;1900.0;1.5416666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
53;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15000.0;0.0;0.0;15000.0;0.0;0.0;15000.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
55;1;0;431.2;0.0;2.8;34400.0;80.0;20.2;14191.2;32.0;10.2;1.0;1078.0;7.0;4.727469;1078.0;6.3375;0.0;24403.4;113.004166;0.0;9408.5;52.270832;0.0;1.0;1.0;0.0;0.0;0.0;1078.0;33.770832;0.0;19.6;2.4489796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
57;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1078.0;0.0;0.0;1078.0;0.0;0.0;1078.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1078.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
59;0;0;11273.9;0.0;120.8;21465.1;0.0;159.2;16369.5;0.0;140.0;1.0;16369.5;140.0;0.85480094;12746.6;20.666666;0.0;44746.6;20.666666;0.0;27911.0;20.666666;0.0;0.33333334;0.33333334;0.6666667;0.0;0.0;23733.0;20.666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
63;1;0;100000.0;80.0;1598.0416;100000.0;80.0;1598.0416;100000.0;80.0;1598.0416;1.0;100000.0;1598.0416;0.22840455;17165.0;14.95;0.0;24630.0;38.108334;0.0;21212.5;29.604166;0.0;1.0;1.0;0.0;0.0;0.0;22000.0;37.291668;0.0;1.7680555555555555;27.148468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
67;1;0;980.0;20.0;6.2;4900.0;100.0;225.4;3266.6667;66.666664;97.666664;1.0;4900.0;7.0;0.75463027;4900.0;72.458336;0.0;4900.0;72.458336;0.0;4900.0;72.458336;0.0;1.0;1.0;0.0;0.0;0.0;4900.0;72.458336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
71;1;0;40000.0;50.0;54.0;40000.0;50.0;54.0;40000.0;50.0;54.0;1.0;40000.0;54.0;6.759259;25564.0;130.5;0.0;39164.0;130.5;0.0;32986.668;130.5;0.0;0.33333334;0.33333334;0.6666667;0.0;0.0;36100.0;130.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
75;0;1;15300.0;10.0;7.0;53800.0;90.0;187.0;33625.0;50.0;82.0;1.0;29000.0;7.0;0.9638731;6460.0;2.775;0.0;27280.0;12.241667;0.0;15745.0;7.6527777;0.0;0.6;0.6;0.4;0.0;0.0;12600.0;8.375;0.0;2.1597222222222223;27.781351;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
87;0;1;5522.2;5.0;7.0041666;25235.8;45.0;7.0375;15379.0;25.0;7.0208335;1.0;15379.0;7.0208335;1.9259096;10690.0;23.291666;0.0;17010.0;23.291666;0.0;13850.0;23.291666;0.0;1.0;1.0;0.0;0.0;0.0;13850.0;23.291666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
119;1;0;2728.0;0.0;6.0;16350.0;50.0;915.0;8305.111;11.111111;249.00462;0.8888889;2975.0;7.0;2.4698474;875.0;2.7208333;-18.291666;10500.0;60.958332;-18.291666;4396.4;25.247025;-18.291666;0.93333334;0.93333334;0.06666667;0.0;0.0;2975.0;14.729167;-18.291666;25.068055555555556;7.1804533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
121;1;0;600.0;100.0;7.0;600.0;100.0;7.0;600.0;100.0;7.0;1.0;600.0;7.0;52.142857;3024.0;2.5;0.0;3024.0;2.5;0.0;3024.0;2.5;0.0;1.0;1.0;0.0;0.0;0.0;3024.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
139;1;0;5759.0;54.0;7.0;15751.0;86.0;7.0;10755.0;70.0;7.0;1.0;10755.0;7.0;4.0555553;2882.0;6.6666665;0.0;6862.0;6.6666665;0.0;4811.6665;6.6666665;0.0;0.33333334;0.33333334;0.6666667;0.0;0.0;4510.0;6.6666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
161;1;0;66300.0;80.0;7.0;66300.0;80.0;7.0;66300.0;80.0;7.0;1.0;66300.0;7.0;52.142857;6930.0;4.5416665;0.0;37290.0;52.508335;0.0;22800.0;24.527779;0.0;1.0;1.0;0.0;0.0;0.0;26250.0;4.5416665;0.0;2.9305555555555554;12.28436;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
169;1;0;17440.0;10.0;7.0;32968.0;90.0;37.4;25536.666;50.0;19.666666;1.0;27200.0;7.0;1.4037712;9096.6;18.245832;0.0;27760.0;145.54584;0.0;19334.5;81.895836;0.0;0.5;0.5;0.5;0.0;0.0;21600.0;81.895836;0.0;7.670833333333333;6.2574687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
